"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\src\i18n\en\product.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\ttlab\qr-code-backend\src\i18n\en\provider.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\ttlab\qr-code-backend\src\i18n\en\user.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\ttlab\qr-code-backend\src\i18n\en\validation.json", "JSON", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 107
"d:\ttlab\qr-code-backend\src\i18n\i18n.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 10, 5, 36
"d:\ttlab\qr-code-backend\src\i18n\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\ttlab\qr-code-backend\src\i18n\vi\action.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\vi\auth.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\ttlab\qr-code-backend\src\i18n\vi\category.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\vi\errors.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\ttlab\qr-code-backend\src\i18n\vi\file.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\vi\index.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"d:\ttlab\qr-code-backend\src\i18n\vi\product.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\ttlab\qr-code-backend\src\i18n\vi\provider.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\ttlab\qr-code-backend\src\i18n\vi\user.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\ttlab\qr-code-backend\src\i18n\vi\validation.json", "JSON", 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 108
"d:\ttlab\qr-code-backend\src\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ttlab\qr-code-backend\src\main.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 15, 10, 111
"d:\ttlab\qr-code-backend\src\modules\action\action.builder.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\ttlab\qr-code-backend\src\modules\action\action.constant.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\ttlab\qr-code-backend\src\modules\action\action.controller.ts", "TypeScript", 0, 0, 0, 0, 150, 0, 0, 0, 0, 13, 163
"d:\ttlab\qr-code-backend\src\modules\action\action.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\ttlab\qr-code-backend\src\modules\action\action.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ttlab\qr-code-backend\src\modules\action\action.repository.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\ttlab\qr-code-backend\src\modules\action\dto\request\action.request.dto.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 9, 44
"d:\ttlab\qr-code-backend\src\modules\action\dto\response\action.response.dto.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"d:\ttlab\qr-code-backend\src\modules\action\entity\action.entity.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 9, 38
"d:\ttlab\qr-code-backend\src\modules\action\services\action.service.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 6, 54
"d:\ttlab\qr-code-backend\src\modules\auth\auth.constant.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"d:\ttlab\qr-code-backend\src\modules\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 212, 0, 0, 0, 5, 20, 237
"d:\ttlab\qr-code-backend\src\modules\auth\auth.interface.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ttlab\qr-code-backend\src\modules\auth\auth.middleware.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\ttlab\qr-code-backend\src\modules\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\google-login-link.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\google-login.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\login.dto.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\registered.dto.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"d:\ttlab\qr-code-backend\src\modules\auth\dto\requests\update-profile.dto.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"d:\ttlab\qr-code-backend\src\modules\auth\dto\responses\api-responses.dto.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 8, 30
"d:\ttlab\qr-code-backend\src\modules\auth\entity\user-token.entity.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 1, 7, 32
"d:\ttlab\qr-code-backend\src\modules\auth\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 194, 0, 0, 0, 21, 16, 231
"d:\ttlab\qr-code-backend\src\modules\category\category.builder.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\ttlab\qr-code-backend\src\modules\category\category.constant.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\ttlab\qr-code-backend\src\modules\category\category.controller.ts", "TypeScript", 0, 0, 0, 0, 146, 0, 0, 0, 0, 15, 161
"d:\ttlab\qr-code-backend\src\modules\category\category.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
